17107 100 0
93756 100 1
11134 100 2
86740 100 3
50474 100 4
95456 100 5
36249 100 6
49562 100 7
25674 100 8
10605 100 9
39248 1000 0
28157 1000 1
23636 1000 2
26477 1000 3
93216 1000 4
41648 1000 5
24991 1000 6
14674 1000 7
24917 1000 8
11095 1000 9
73328 10000 0
55352 10000 1
13389 10000 2
69926 10000 3
42309 10000 4
86350 10000 5
51188 10000 6
27933 10000 7
82265 10000 8
90635 10000 9
80328 100000 0
84816 100000 1
7252 100000 2
97734 100000 3
94758 100000 4
73947 100000 5
58713 100000 6
4438 100000 7
45308 100000 8
94730 100000 9
